aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
auki ,"rahaton, varaton; velkaa  ","Palkka tulee vasta viikon päästä, ja mä oon ihan auki. Voisitko sä nyt maksaa sen kympin, minkä sä oot auki mulle ? Niina jäi mulle kakskymppiä auki, kun me oltiin baarissa. ",without money; owe money
aukoa päätään ,"puhua paljon, ärsyttää, valittaa, soittaa suuta  ","sig. Älä auo päätäs mulle! Aina toi jätkä aukoo päätään joka paikassa. Naapurin äijä tuli aukomaan päätään, että me soitetaan stereoita liian lujaa, ","complain, talk arrogantly"
aussi ,australialainen  ,Aussit on hyviä uimaan. ,Australian
aut ,"pois muodista, vanha juttu  ","slg. Etsä tajuu, sähän oot ihan aut! Se juttu onjo aut. ",outdated
autuaasti ,"tahattomasti, pahaa-aavistamatta  ","Mä olin unohtanu autuaasti koko asian. Me nukuttiin autuaasti pommiin, ","unintentionally, unsuspectingly"
baana ,"(leveä) katu, tie, väylä  ","slg. Se on hyvä baana, voi ajaa satasta koko matkan, ",road
baanalla ,"juhlimassa, ulkona, kaupungilla, liikenteessä  ","slg. Paa takki niskaan, niin lähdetään baanalle! Vähän väsyttää, kun mä olin koko yön baanalla. ",out (partying)
baarimikko ,"baarimestari, viinuri  ","Mä kysyn baarimikolta, mikä olis oikein hyvä paukku. Mä oon nähny ton jätkän, se on jossain baarimikkona. ",bartender
bailata ,"juhlia, tanssia  ","slg. Me bailattiin koko yö. Ville on kova jätkä bailaamaan, ",to party
bailut ,"juhlat, bileet ",slg. Oli tosi rajut bailut. Lähetkö sä sinne bailuihin? ,party
bansku ,banaani  ,"Banskut makso vaan euron kilo. Meill oli banskuja eväänä, ",banana
basilli ,"bakteeri, taudinaiheuttaja  ","Mulla on kauhee nuha, kai se on joku basilli. Päiväkodistahan ne tarttuu kaikki basillit, ",pathogen
1 biitti ,"rytmi, komppi  ","slg. Mennään tanssimaan, nyt on hyvä biitti! ","beat, rhythm"
2 biitti ,pala jotain ainetta; nuuskamälli ,"slg. Lätkänpelaajilla on aina biitti huulessa, ","bit, quid (of snuff)"
beesi ,"beige, peesi ","Niina osti beesin värisen takin, ",beige
beibi ,"kulta, kulti, rakas, hani  ","Voi beibi, mullon ollu sua ihan kauhee ikävä. Nyt mun on ihan pakko soittaa beibille, ","honey, darling"
Bemari ,BMW-merkkinen auto tai moottoripyörä  ,Naapuri oli ostanu uuden Bemarin. Bemarit aina kaahaa liikenteessä. Poliisien prätkät on enimmäkseen Bemareita. ,BMW
bensa ,bensiini  ,Autosta loppu bensa. Pitäs käydä ostamassa bensaa. ,"petrol, gasoline"
bestikset ,parhaat (tyttö)ystävykset  ,"slg. Laura ja Niina on bestikset. Me oltiin vielä kasiluokalla bestiksiä, mut sit se jotenkin loppu. ",bestfriends
bestis ,(tytön) paras ystävä  ,slg. Laura on Niinan bestis. Voinks mä ottaa mun bestiksen mukaan ? ,best friend
betoniporsas ,betonista tehty ajoeste  ,"Ei tost pääse ajamaan, sinne on pantu betoniporsaat, ",concrete bollard
biisi ,"musiikkikappale, sävelmä, piisi ","Tiedätkö sä, mikä biisi tää on ? Bändi soittaa vain vanhoja biisejä, ",song
biitsi ,uimaranta ,slg. Thaimaassa on hyvät biitsit. Mennään löhöömään biitsille. ,beach
bikata ,käydä aerobicissä ,Mii salil sä bikkaat? Niina on bikkaamassa. ,do aerobics
bikki ,aerobic  ,Mulla on tänään bikkitunti. Niina harrastaa bikkiä. ,aerobics
bileet ,"juhlat, bailut ","Niina pitää bileet, kun niiden porukat lähtee mökille. Bileissä ei ollu mitään juomista, ",party
bilettää ,"juhlia, käydä bileissä  ","Kun kirjotukset on ohi, sitten mä biletänja kunnolla. Lähetään kaupungille bilettämään! ",to party
bilsa ,biologia oppiaineena  ,Meillä on huomenna bilsan kokeet. Se lukeebilsaayliopistossa. ,Biology(as subject)
bimbo ,"tyhmä, hölmö; pinnallinen nainen  ",halv. Tota bimboo ei kiinnosta muu ku meikit ja vaatteet. Villen kaikki tyttöystävät on ollu ihan bimboja. ,bimbo
bingo ,"huudahdus, jota käytetään, kun joku keksii jotakin, arvaa oikein tms.; täysosuma  ","Mä löin vetoo, et se peli päättyy 2—4, ja bingo! ","""Bingo!"""
bisnes ,"kaupankäynti, liiketoiminta  ",Nykyään urheilu on pelkkää bisnestä. Ville tuhlas rahat johkin epämääräsiin bisneksiin. ,business
"bisse, bise, bisoshooffen ",olut  ,slg. Mä voisin ottaa yhen bissen. Sikspäkissä on kuus bisee. Lähetään bisselle! Onks siellä jääkaapissa yhtään bisoshoojfenia? ,beer
bittinikkari ,"tietokoneiden asiantuntija, innokas harrastaja  ",Toi pikkujätkä on kauhee bittinikkari. Bittinikkareille löytyy helposti töitä. ,computer expert
blandata ,"sekoittaa juomia, laimentaa alkoholia, lantrata  ",Kossua voi blandata vaikka tuoremehulla. Millä sä oot oikein blandannu tätä? ,"mix, dilute"
blandis ,"neste, jolla alkoholijuomia laimennetaan, lantrinki ","slg. Kokis on hyvä blandis. Ei ollu blandis ta, piti juoda raakana. ",diluting substance
blokata ,"estää, sulkea; urheilussa: estää vastapuolen pelaajan kulkua  ","Poliisi blokkas tien. Meidän puolustajat ei pystyny blokkaamaan ruotsalaisia, ja ne teki maalin.",to block
blondi 1 ,vaaleatukkainen  ,Onks sun tukka värjätty vai ootko sä oikeesti blondi? ,blonde
blondi 2 ,"tyhmä, pinnallinen nainen, bimbo ","halv. Ei tommosia ohjelmia kato muut ku jotkut aivottomat blondit, ",bimbo
bodari ," kehonrakentaja; lihaksikas, isokokoinen mies  ","Schwarzenegger oli ensiks bodari, sit vasta näyttelijä. Ei sinne salille kehtaa mennä, ku siellon vaan kauheita bodareita. ",body-builder
bodata ,"harrastaa kehonrakennusta, käydä kuntosalilla  ","Kannattas vähän bodata, että saa lihaksia. Monta kertaa viikossa sä käyt bodaamassa? ",dobody-building
boltsi ,pallo; pää  ,slg. Pikkujätkät heitteli boltsia pihalla. Tolia naapurin äijällä on boltsi ihan sekosin. ,"ball, head"
bongata ,"tavata, löytää, huomata; erit. tehdä havaintoja linnuista  ","Kasinolla on hyvä bongata julkkiksia. Niina bongas tosi komeen jätkän yheitä terassilta. Suomessa on taas bongattu uus lintulaji, ","to notice, find; to bird watch"
bootsit ,"(cowboy)saappaat, buutsit  ",Nää bootsit pitäs viedä pikasuutarille. ,cowboy boots
bosat ,rinnat  ,"slg. Näätkö sä, mitkä bosat tolia muijalla on! Eikö miehiä muu kiinnosta, ku et pitää olla isot bosat? ",breasts
botski ,"vene, laiva  ","slg. Pitäis laskee botski vesille. Kesällä on kiva olla botskilla. Nykyään botskit menee Tallinnaan tosi nopeesti, ",boat
"brassailla, brassata ","teeskennellä, kerskailla, leveillä  ","slg. Noi yliopistotyypit aina brassailee sivistyssanoilla. Ei sil mitään rahaa oo, se brassaa vaan. Naapurin äijä brassas uudella Bemarillaan. ",show off
brassi ,brasialainen  ,Brassit voitti jalkapallon MM-kisat. ,Brazilian
breikata ,tehdä läpimurto (musiikkibisneksessä)  ,Suomalaisten bändien on vaikee breikata ulkomailla. Tämmönen musa ei breikkaa kyllä ikinä. Vasta kolmas levy breikkas. ,to break through (in music business)
breikki 1 ,tauko ,"slg. Eiköhän pidetä pieni breikki. Bändi jatkaa soittamista breikinjälkeen, ",pause
breikki2 ," break dance, tanssi joka perustuu vaikeaan akrobatiaan  ",slg. Toi breikki on mulle kyllä ihan liian vaikeeta. Niina osaa vähän breikkiä. ,break dance
brenkku ,"viina, alkoholi  ",slg. Brenkku meni nopeesti päähän. Ootko sä taas ottanut brenkkua ? ,alcohol
briiffata ,"antaa (lyhyt) tilannekatsaus, ohjata, neuvoa  ","slg. Voisitko sä briiffata vähän, mitä siellä puhuttiin? Valmentaja vielä briijfas meitä ennen peliä, ",to brief
broidi ,veli  ,"slg. Villellä on yks broidi ja yks systeri. Tänään on mun pikkubroidin synttärit, ",brother
bumerangina ,"hakemuksesta, ehdotuksesta tms., kun se palautetaan tai muuten hylätään nopeasti.  ","Onks sul vaihtunu osote, ku kaikki meilit tulee bumerangina takasin ? Kustantaja lähetti mun kässärin bumerangina. Mä sain sen hakemuksen bumerangina takasin. ",returned quickly
buukata ,varata tai tilata etukäteen  ,"Mä buukkasin jo matkan talvilomaks. Koko hotelli oli buukattu täyteen, ",to book
buumi ,"taloudellinen nousukausi; äkillinen suosion nousu, innostus  ","Asuntojen hinnat nousee koko ajan, ku on tämmönen buumi. Kännykkäbuumi taitaa olla jo menny ohi. Lumikengillä kävely on nyt oikee buumi, ",boom
buutsit ,cowboy-saappaat  ,"Onpas sulia makeet buutsit. Buutseilla on ihan mahoton kävellä liukkaalla kelillä, ",cowboy boots
