aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
hölpön pölpön ,"väheksyntää tai torjumista ilmaisemassa: höpsis(tä), lässyn lässyn, höpö(n) höpö  ","Hölpön pölpön, ja minähän en lommosta usko. Koko ajan se muija vaan puhu, että hölpön pölpön. ",cused to express disagreement or suspicion
hölpöttää ,"puhua turhia, lörpötellä, hölöttää  ","Mä en tajuu mitään, mitä sä hölpötät. ",talk a lot (of nonsense)
hölö hölö ,"ilmaisemassa vähättelyä tai epäuskoa: hui hai, höpö höpö  ","Ja hölö hölö, kyllä toi jää kestää vaikka hevosen! ",<used to express disparagement>
hölösuu ,"paljon (ajattelemattomasti) puhuva ihminen, hölöttäjä  ",Ei ton hölösuun puheista tartte välittää. ,jabberer
hölöttää ,"puhua suulaasti, turhaan, lörpötellä, hölistä  ",Älä hölötä! Ville hölötti sen jutun heti kaikille. Siihen sejäi vielä ovensuuhun hölöttämään. ,talk a lot (of nonsense)
hömppä ,"joutava, turhanpäiväinen asia, hölynpöly  ","Mua ei kiinnosta tommoset juorut ja muu hömppä. Noi iltapäivälehdet on täynnä pelkkää hömppää, ",trivial entertainment; nonsense
hömpsy ,"kulaus, siemaus, ryyppy  ",Otas tost kunnon hömpsy! Tilattiin tarjoilijalta yhet hömpsyt. ,"sip, drink"
hömpötys ,"hössötys, tohotus; joutava, turhanpäiväinen asia  ","Kauhee hömpötys tommosesta pikkujutusta. Noi laihdutuspillerit on pelkkää hömpötystä, ",fuss; triviality
hönkäistä ,"henkäistä, puhaltaa  ","Poliisit löi mittarin nenän alle ja sano, et hönkäse tohon. ","exhale, blow"
höntti ,"hölmö, höhlä, hönö, höperö, hassu, hupsu, pöhkö, typerä  ",Toi kaveri on ihan höntti. Mä en enää sensaakelin höntinjuttuja kuuntele. ,"silly, stupid"
höntyillä ,"hermoilla, intoilla (liikaa), hötkyillä   ",Älähännyt taas rupee höntyileen ihan turhaan! Ei piä höntyillä joka asiassa! ,be nervous; get carried away
hönö ,"hölmö, höntti, hassu, pöhkö, tollo, typerä  ","Toi nyt on ihan hönö idis. Ootteks te vähän hönöjä, kun tolleen hillutte! ","silly, stupid"
hönössä ,"humalassa, juovuksissa, kännissä, päissään  ",Porukka oli jo alkuillasta aika lailla hönössä. Jätkät tuli parista kossupullosta ihan hönöön. ,drunk
hönöt ,"humala, känni, kekkuli  ",Eiköhän oteta illalla kunnon hönöt? ,drunkenness
hönöön(sä) ,"selkään antamisesta tai saamisesta: nenään, turpaan, kuonoon, köniin  ","Tekis mieli vetää sitä tyyppiä hönöön. Varo vaan, ettet saa siltä kaverilta hönöös! Pena oli oikeen kerjänny hönöönsä sillä suunsoitollaan, ",beaten (on the face)
höppänä 1 ,"ihmisestä: höperö, hölmö, hupsu, hassu, sekopäinen, pöhkö, tärähtänyt  ","Reksistä on tullu jo ihan höppänä ukko. Minä en kyllä usko sen höppänän juttuja. Painu hittoon, sekin höppänä! Ei sillä höppänällä oo mitään jakoo meitsin juttuihin! ",stupid; senile
höppänä 2 ,"turhanpäiväinen asia, höpönhöpö; valhe, pötypuhe  ","Toi on täyttä höppänää, mitä toi maikka latelee! Musta poliitikot puhuu pelkkää höppänää. Tollasta tarinaa ei voi sanoo kun silkaks höppänäks. ",nonsense
höpsis(tä) ,toisen sanojen torjumista tai epäilemistä ilmaisemassa: höpö(n) höpö  ,Ja höpsis vielä. tietysti sä lähet mukaan! Ihan höpsistä mä sanon tollaselle juorulle! ,<used to express disagreement or suspicion>
höpsö ,"hassu, hupsu, hölmö, höperö, sekopäinen, tärähtänyt  ","Sähän oot ihan höpsö, kun kastelet kukkia kaatosateessa! Mummo alkaa olla jo vähän höpsö. Noi vaarin jutut on pikkasen höpsöjä. ","silly, stupid"
höpö ,"humpuuki, hölynpöly, hupsu, hölmö, höhlä  ","Toi nyt oli ihan höpö idis. Ei kukaan sun höpöjä juttujas usko. Mitä lie höpöö se vaarikin taas tarinoi, ",silly; nonsense
höpö(n) höpö ,"toisen sanojen väheksyntää tai torjumista ilmaisemassa: höpsis(tä), lässyn lässyn, hölpön pölpön  ","Höpö höpö, ei sua kukaan usko. Höpön höpö, älähän nyt taas yritä huijata! ",<used to express disagreement or suspicion»
"höpönhöpö, höpönpöpö ","hölynpöly, höpöpuhe, humpuuki, höppänä (2)  ",Maikka puhu tänään taas täyttä höpönhöpöö. Tais taas olla ihan höpönpöpöö koko vaalilupaus! ,nonsense
hörhelö ,"vaatteen röyhelö, rimpsu, liehuke; tällainen vaatekappale  ",Siinä morsiamen puvun helmassa oli hienoja hörhelöitä. En kyllä kehtais kulkee ton näkösissä hörhelöissä. ,ruffle(d piece of clothing)
hörhö ,"ihmisestä tai asiasta: outo, hullu, hölmö, kahjo, pöhkö  ","Minä en suostu tollasen hörhön kanssa mihinkään. Hullujenhuoneet on hörhöjä varten. Sähän puhut ihan hörhöjä. Pena iski taasjotain ihan hörhöö tarinaa, ",weird
hörhöillä ,käyttäytyä sekavasti tai vastenmielisesti; oleskella jouten  ,Mun broidi oli kuulemma hörhöilly kännissä niissä kemuissa koko ajan. Ei tartte tulla tänne hörhöilemään! Mitäs sä täällä taas hörhöilet? ,behave in a confused manner; be idle
hörppy ,väkevä viina-annos; siemaus (alkoholijuomaa  ,Etkö tarjoo pullostas ees hörppyä? Mennääs ottaan kunnon hörpyt tohon kapakkaan?Onksjätkät tarjonnu sulle taas liikaa hörppyjä? Jätä mulle hörpyt! ,swig
höröllä(än) ,korvista: pystyssä; kuuntelemisesta: tarkkaavaisena  ,Kuunnelkaas nyt korvat höröllä! Yks sonni toljotti meitä siinä laitumella korvat höröllään. Pankaas kersat ees hetkeks korvat hörölle ja kuunnelkaa! ,"""all ears""; pricked up"
höskä 1 ,"huonokuntoinen tai vaatimaton talo, maja, mökki tms. rakennus  ",Saispa ostetettua itelleen ees jonkinmoisen höskän. Se mummon vanha höskä kannattas varmaan purkaa. Ja tollaseen surkeeseen höskään en kyllä suostu muuttamaan! ,shack
höskä 2 ,"roska, romu, rähjä, kama; huonokuntoinen, rikkinäinen laite, kone, koje tms.  ",Mitä ihmeen höskää tänne kellariin on kasattu! En kyllä suostuis maksamaan tollasesta mopon höskästä viittäkymppiä enempää. ,junk; broken machine
hösseliksi 1 ,"sekaisin, pilalle  ","Koko homma meni hösseliks, kun Pena rupes taas ryyppäämään. ","ruined, spoiled"
hösseliksi 2 ,"töpinäksi, touhuksi, vauhtia työhön tms.  ","Eiköhän pistetä oikeen hösseliks, niin saatas tää homma tänään valmiiksi ",(get) down to sth; (do) faster
hössäkkä ,"kiireinen touhu, sekasorto, kaaos, hässäkkä, hötäkkä, hösäkkä  ",Tullissa oli ihan hirvee hössäkkä. Koko homma meni työmaalla taas pelkäks hössäkäks. Siinä samassa hässäkässä mun rillitkin hävis. ,state of confusion
hössöttää ,"puhua tai touhuta turhia asioita, touhottaa, hömpöttää, hömpsöttää  ","Meinaaks se sun typerä siskos tulla tänne taas hössöttämään ? Tekisit jotakin kunnolla etkä aina hössöttäis! Taitaa noi ukot hössöttää ihan joutavia, ",to fuss
hösäkkä ,"kiireinen touhu, sekasorto, kaaos, hässäkkä, hössäkkä, hötäkkä  ","Alessa oli jo aamusta alkaen ihan kauhee hösäkkä. Järjestääks toi hullu siskos aina ihan tahallaan tollasen hösäkän, kun koko suku on koolla ? ",state of confusion
hötkyillä ,"hätäillä, hermoilla turhaan, hosua liikaa  ",Älähän nyt rupee hötkyilemään tärkeessä asiassa! Eipäs hötkyillä niissä hommissa! Lakkaa jo hötkyilemästä! ,"to hurry, rush"
hötäkkä ,"kiireinen touhu, sekasorto, kaaos, hyörinä, hässäkkä, hös(s)äkkä  ",Siinä terminaalin hötäkässä mä hukkasin mun passinkin. Onneks selvittiin siitä saakelin hötäkästä ees hengissä. Johan oli kauhee hötäkkä siellä myyjäisissä! ,chaos
"hötö, höttö ","kuohkea, tyhjänomainen, heikko, löyhä, pehmeä  ",Tää tyyny on sisältä ihan hötöö. Nää muka kovaks keitetyt kananmunat on kyllä jääny sisältä hötöiks. Kummallisen höttöö kangasta koko alushame! Tää lämmin leipä on sisältä ihanan höttöö. Se tontin reuna on sellasta höttöö suomaata. ,"loose, light, spongy"
"höveli, höyli ","ihmisestä: mukava, kohtelias, auttavainen, avulias, ystävällinen, heveli  ","Naapurin ukko on aina niin höveli. Faija on nyt hövelillä tuulella, antaskohan se rahaa ? Oisitko niin höveli, että lainaisit autoos? Enpä oo ennen tavannu noin höyliä miestä. Iskä onpikkasessa hiprakassa aina höylillä päällä, ","friendly, helpful, generous"
höylätä ,"varsinkin miehestä: olla sukupuoliyhdynnässä, naida, nussia, panna  ",vulg. Pääsitkö höylään sitä kimulia? Höylättiin jumankuta kimpassa koko yö! ,(of males) have sex
höynä 1 ,"asiasta tai ihmisestä: hölmö, höhlä, hassu, pöhkö, typerä, kaheli, höynähtänyt  ",Mitä helkutin höynää sä taas puhut? Pomo esittää aina ihan höyniä idiksiä. Maikka lateli taas koko päivän täyttä höynää. Taitaa toi vaarikin olla jo ihan höynä. ,stupid
höynä 2 ,roskainen joutava täyte tms. tavara  ,Olihan niitten purettujen seinien välissä jos jonkinlaista höynää. Me vietiin vintiltä kaikki pölisevä höynä suoraan kaatikselle. ,flutfy substance
höynähtää ,"menettää järkensä (ajattelemattomuuttaan); huHaantua, intoontua johonkin tai johonkuhun, hassahtaa, hurahtaa, höyrähtää, tärähtää  ","Miten helkutissa se sun systeris höynähti naimaan sen vanhan hölmön ? Varotkin sitten höynähtämästä taas vieraisiin naisiin! Ei kai helkutissa kukaan voi noin höynähtää, että uskois sen hullun puheita, ",become enthusiastic; adopt uncritically; lose one's mind
höynäyttää ,"petkuttaa, puijata, keksiä kepponen, jymäyttää  ",Tota tyyppiä on helppo höynäyttää. Höynäytetääs vähän noita likkoja! Noihan yrittää vaan höynäyttää meikäläisiä vaalilupauksillaan. Mua ei sit niin vaan höynäytetäkään! ,"to con, cheat"
"höyrypäinen, höyrypää ","hölmö, hassu, pöhkö, tollo, typerä; kiihkeä, kiivas; höperö, höynähtänyt, dementoitunut  ","Koko sakki oli pelkkiä höyrypäisiä poliitikkoja. Ei noiden höyrypäisten kanssa voi tehdä mitään yhdessä. Siskos kävi täällä taas vouhottamassa kun mikäkin höyrypää. Mummu se alkaa olla jo täys höyrypää, ",stupid; senile; freak
höyrytä ,"kiihkoilla, intoilla, touhuta liikaa  ",Reksi höyryää taas jotain älytöntä. Mitä helkuttia se pomo tuli taas tänne höyryämään! Mitä hittoo sä taas höyryät? ,work oneself up
höyrähtää ,"menettää järkensä (ajattelemattomuuttaan); hullaantua, intoontua johonkin tai johonkuhun, hassahtaa, hurahtaa, höynähtää, tärähtää  ",Pappa höyrähti vanhoilla päivillään vielä uuelleen naimisiin. Nyt se vaari tuntuu höyrähtäneen ihan lopullisesti. Älä sitten höyrähti reissulla vieraisiin! ,become enthusiastic; adopt uncritically; lose one's mind
höösätä 1 ,"touhuta, häärätä, järjestellä turhaan, tarpeettomasti tai tehottomasti jotakin  ",Mitä ihmettä ne ukot höösää tuolla pihalla ? Painu siitä muualle höösäämään! ,to fuss
höösätä 2 ,huolehtia liikaa jostakusta  ,"Sä höösäät ihan turhaan noita lapsias. Äitis on höösänny sut ihan piloille, ","care, pamper"
idis ,"idea, aate, ajatus, oivallus, päähänpisto  ",slg. Oli tosi hyvä idis ottaa kalavehkeet mukaan. Oiskohan siinä idistä lähtee illalla vähän bailaileen ? Minkä ihmeen idiksen sä oot saanu päähäs? ,idea
"ihan(ko) totta, ihanks totta ","yllättymisen, hämmästymisen, kauhistumisen yms. toteamus: todellako, niinkö  ","""Hei, sullon paita väärinpäin. Ihanko totta ? "" ""Mun veljellä on syöpä. Ihan totta?"" ""Jippii, mä pääsin sittenkin tentistä läpi. Ihanks totta ? "" ","""Really?"""
ihan kiva 1 ,"myönnyttelevä toteamus: oikein hauska, hyvä, mukava, miellyttävä, mieluisa  ","Ihan kiva toi esitys! Ihan kiva, et pääsit tulemaan. Ihan kiva nähä taas pitkästä aikaa, ","good, nice"
ihan kiva 2 ,"(vain) melko hyvä, mutta ei sen enempää, mitäänsanomaton ","Nojoo, olihan se ihan kiva leffa, mut en mä sitä toista kertaa viittis kattoo. ","nice, not special"
ihan sama ,"samantekevää, yhdentekevää, se ja sama, sama se ","Se on mulle ihan sama, mitä sä meinaat. ""Otaks sä appelsiinivai omenamehua ? Ihan sama. "" ",makes no difference
ihan totta ,"aivan niin, juuri niin, todella, todellakin, todellakaan  ","Ihan totta, se on just niin kun mä sanoin. Ihan totta mä pääsin lukioon. Sua ei ihan totta oteta mukaan! ","really, ""I mean it"""
ihme 1 ,"taipumaton adjektiivi: ihmeellinen, kummallinen, kumma  ",Tivolissa oli kaikenlaisia ihme vekottimia. Pena selvis siitä kolarista hengissä jollakin ihme tuurilla. Ei sitä ihme tyyppiä kukaan tajuu. ,strange
ihme 2 ,"vahvistussana kysymyslauseissa: kumma, merkillinen  ",Mikä ihme sua vaivaa? Millä ihmeen keinolla sä selvisit siitä kolarista? Mitä ihmettä sä täällä teet? Missä ihmeessä ne ukot taas viipyy? ,"""...on earth"" (in questions)"
ihmeen kaupalla ,"ihmeellisellä tavalla, keinolla, ihmeen avulla, ihmeellisesti ","Me selvittiin siitä tulipalosta ihan ihmeen kaupalla. Millä ihmeen kaupalla sä sait sen jutun selville? Arska oli keplotellu jollain ihmeen kaupalla firman rahoja omalle tililleen, ",as by a miracle
ihmeessä ,"painokas toteamus: hyvänen aika, sentään  ",Tuu nyt ihmeessä! Soita ihmeessä heti isällesi Älä ihmeessä mee tekemään toisille pahaa! ,"""for God's sake"""
ihmeesti ,"ihmeellisen paljon, ihmeellisellä tavalla, ihmeellisesti  ",Onpa ihmeesti sieniä! Kyllä se lääke vaan ihmeesti autto päänsärkyyn. Sä muistutat ihmeesti isääs. Kylläpä kahvi piristi ihmeesti. ,"surprisingly much, a lot"
ihmisiksi ,"kunnon ihmisten tavoin, kunnollisesti, säädyllisesti, siivosti  ",Muista sitten elää ihmisiks siellä kaupungissa! Pitäis sunkin osata käyttäytyä juhlissa ihmisiks. Koitahan nyt olla ihmisiks! ,behave oneself
"ihmisten aikaan, aikoihin ","riittävän varhain, ajoissa, säädylliseen aikaan  ",Eihän mekään tossa iässä koskaa ehitty kotiin ihmisten aikaan. Muista sitten tulla sieltä pikkujouluista ihmisten aikoihin! ,not too late
ihmisten ilmoilla ,"ihmisten parissa, julkisuudessa  ",Penaa ei oo sitten näkyny se putkareissun jälkeen ihmisten ilmoilla. Etkö sää uskalla tulla enää ihmisten ilmoille? ,in public
"iholla, iholle ","iho vasten ihoa, kosketuksessa toiseen, aivan kiinni toisessa, toiseen  ","Se kimuli halus olla koko ajan iholla. Hei, tuu iholle! ",skin on skin
iho umpeen ,"suu kiinni, turpa tukkoon  ","Iho umpeen, senkin hullu! Nyt iho umpeen siinä! ","""Shut up!"""
iik ,pelästymistä tai kauhistumista ilmaiseva huudahdus  ,"Iik, mikä hirvee ötökkä! Apua, iik, mä putoon täältä! ",<exclamation of horror>
iisi ,"helppo, yksinkertainen, kevyt; rauhallinen, rento  ","Oli ihan iisi juttu koko tentti. Tää seinän maalaaminen on aika iisiä hommaa. Tollanen hevi on musta ihan liian iisiä. Ota nyt vaan iisisti, ",easy
"ikuna, ikänä ","ikinä, koskaan, ikäpäivänä, ikäpäivään  ",En kyllä enää ikuna ota tippaakaan viinaa. En mä oo ikänä mitään huumeita kokeiltu. ,(n)ever
"ikäpäivänä, ikäpäivään ","ikinä, koskaan, ikuna, ikänä  ",En oo kuullu ikäpäivänä koko asiasta. Äläkä sitten enää ikäpäivänä tuu näille nurkille! En muuten oo ikäpäivään tupakkia polttanu. ,(n)ever
iliatsut ,"illanvietto, illanistujaiset  ","Pitää taas tänään lähtee johonkin typeriin illatsuihin. Meillä oli aika mukavat illatsut, vai mitä? ",evening party
ilmaa (jollekin) ,"ihmisestä: täysin merkityksetön, mitätön  ",Se tyyppi on mulle pelkkää ilmaa. Vaimokin on ruvennu kohteeleen mua kun ilmaa vaan. ,(treat sb like) air
ilmaa (jossakin) ,hintojen perusteettomasta korkeudesta  ,"Näissä törkyhinnoissa on hurjasti ilmaa. Tuntuu olevan ilmaa tossa asunnon hinnassa, pitää vähän tinkiä. ",air (in prices)
ilman aikojaan ,"muuten vain, huvikseen  ","Käy se naapurin pappa välistä täälläkin ihan ilman aikojaan. Tulinpahan vaan käväsemään ilman aikojani, ",just for fun
